status,ident,name,latitude,longitude
GREEN,KAKQ,Wakefield Municipal Airport,42.69589996,-73.17040253
GREEN,KECG,Elizabeth City Regional Airport & Coast Guard Air Station,36.260601,-76.174599
GREEN,KOFP,Hanover County Municipal Airport,37.709,-77.436699
GREEN,KORF,Norfolk International Airport,36.8946,-76.201202
GREEN,KOXB,Ocean City Municipal Airport,38.3103981,-75.12400055
GREEN,KPHF,Newport News Williamsburg International Airport,37.131901,-76.492996
GREEN,KRIC,Richmond International Airport,37.50519943,-77.31970215
GREEN,KSBY,Salisbury Ocean City Wicomico Regional Airport,38.34049988,-75.51029968
GREEN,KWAL,Wallops Flight Facility Airport,37.940813,-75.462255
GREEN,KALB,Albany International Airport,42.74829865,-73.80169678
GREEN,KAQW,Harriman and West Airport,42.69589996,-73.17040253
GREEN,KDDH,William H Morse State Airport,42.8913,-73.246399
GREEN,KGFL,Floyd Bennett Memorial Airport,43.34120178,-73.61029816
GREEN,KPOU,Dutchess County Airport,41.62659836,-73.88420105
GREEN,KPSF,Pittsfield Municipal Airport,42.4268,-73.2929
GREEN,KAVP,Wilkes Barre Scranton International Airport,41.33850098,-75.7233963
